,ticker,longName,ROCE,ROCE (3yr avg),NFAT,NFAT (3yr avg),NPM,DPR,Retention Ratio,Dep,SSGR,Av NPM (over 3 years),Av NFA/T (over 3 years),Av Dep%NFA (over 3 years),Av Retention ratio (over 3 years),d/e,Interest coverage,tax %,cPAT,CFO,cCFO,cCFO/cPAT,p/a,p/e,EY,Earnings Growth 5yr cagr,Sales Growth 5yr cagr,PEG,no. shares (cr),Current Price,market cap,d/e_market,p/s,NFA + CWIP,Capex,Capex_from_cashflow_statement,FCF,FCF%_from_balance_sheet,FCF_capex_from_cashflow,FCF%,DV,Mcap (cr),d/e decreasing trend 5 yrs,Sales cagr >15%,npm >8%,Tax payout >25%,Interest coverage >3,d/e <0.5,CFO >0,cCFO > PAT,p/e <10,peg <1,EY >7%,p/b <3,DV >3%,EY >7,sgr > Sales growth (very linear),FCF/CFO,Market Cap,Net Income,Total Revenue,Total Assets,Total Liabilities,Total Stockholders Equity,Total Debt,Cash and Cash Equivalents,Current Assets,Current Liabilities,Working Capital,Operating Cash Flow,Capital Expenditure,Dividends Paid,Depreciation & Amortization,Interest Expense,Income Tax Expense,Shares Outstanding,Net Fixed Assets,Construction in Progress,Net Debt,3-5yr Average ROA (%),3-5yr Average ROE (%),ROE,ROA,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,current,high,low,mean,median,Normalized EBIT,Normalized Net Income,Research Asset,R&D Amortization,Adjusted EBIT (R&D),Adjusted Book Equity (R&D),Adjusted D/E (R&D),Adjusted Invested Capital (R&D),Adjusted ROC (R&D),Adjusted ROE (R&D),analysis_date,current_price,total_score,max_score,score_percentage,overall_technical_signal,action,profitability_score,growth_score,valuation_score,financial_health_score,cashflow_quality_score,fundamental_total_score,ma_score,ma_distance_bonus,macd_score,macd_crossover_bonus,rsi_score,vwma_score,vwma_volume_bonus,technical_total_score,combined_score,moving_averages.current_price,moving_averages.SMA_20,moving_averages.SMA_50,moving_averages.SMA_200,moving_averages.above_50,moving_averages.above_200,moving_averages.golden_cross,moving_averages.dist_from_20,moving_averages.dist_from_50,moving_averages.dist_from_200,moving_averages.score,moving_averages.max_score,moving_averages.signal,macd.MACD,macd.MACD_signal,macd.MACD_hist,macd.bullish_crossover,macd.above_zero,macd.histogram_positive,macd.histogram_growing,macd.recent_crossover,macd.crossover_days_ago,macd.score,macd.max_score,macd.signal,rsi.RSI,rsi.not_overbought,rsi.above_50,rsi.in_sweet_spot,rsi.zone,rsi.score,rsi.max_score,rsi.signal,vwma.current_price,vwma.VWMA,vwma.above_vwma,vwma.vwma_rising,vwma.volume_pattern_bullish,vwma.current_volume,vwma.avg_volume,vwma.volume_ratio,vwma.avg_volume_up_days,vwma.avg_volume_down_days,vwma.score,vwma.max_score,vwma.signal,support_resistance.current_price,support_resistance.nearest_resistance,support_resistance.nearest_support,support_resistance.dist_to_resistance_%,support_resistance.dist_to_support_%,support_resistance.at_support,support_resistance.near_resistance,support_resistance.resistance_levels,support_resistance.support_levels,support_resistance.score,support_resistance.max_score,support_resistance.signal,market_context.SPY_price,market_context.SPY_50MA,market_context.SPY_200MA,market_context.above_50,market_context.above_200,market_context.golden_cross,market_context.VIX,market_context.low_vix,market_context.score,market_context.total_checks,market_context.market_state,market_context.recommendation,relative_strength.stock_return_%,relative_strength.benchmark_return_%,relative_strength.outperformance_%,relative_strength.outperforming,relative_strength.signal
0,AMD,"Advanced Micro Devices, Inc.",3.359,2.138,11.097,12.476,5.241,0.0,100.0,100.0,-34.617,5.241,12.476,100.0,100.0,0.04,22.674,19.155,6977000000.0,3041000000.0,11794000000.0,1.69,2.417,113.89,0.463,-27.128,16.2,-4.198,162.804,217.53,354147876196.2,0.006,11.058,2749000000.0,3495000000.0,636000000.0,-454000000.0,-27.666,2405000000.0,146.557,0.0,35414.789,False,True,False,False,True,True,True,True,False,True,False,False,False,False,False,-0.149,354147893248,1641000000.0,25785000000.0,69226000000.0,11658000000.0,55892000000.0,2212000000.0,1250000000.0,19049000000.0,7281000000.0,11768000000.0,3041000000.0,636000000.0,0.0,3177000000.0,92000000.0,381000000.0,1628041540,2425000000.0,324000000.0,962000000.0,2.28,2.892,1.544,1.261,0.004,0.699,0.703,3587.0,217.53,380.0,178.0,282.402,290.0,1317000000.0,1271666666.667,15294600000.0,4035600000.0,4501400000.0,71186600000.0,0.031,72148600000.0,5.044,2.305,2025-11-30,217.53,5,15,33.333,🔴 AVOID,Poor setup,3,5,0,18,11,37,20.0,0,0.0,0,13.333,0.0,0,33.333,35.167,217.53,234.283,218.796,150.512,False,True,True,-7.151,-0.579,44.526,2,3,WAIT - Partial trend,-4.487,0.185,-4.672,False,False,False,True,False,,0,3,AVOID - Bearish momentum,43.594,True,False,True,Bearish,2,3,BUY - Acceptable zone,217.53,234.761,False,False,False,18658000.0,54260835.0,0.344,36225933.333,56532166.667,0,3,"AVOID - Below VWMA, weak support",217.53,263.51,157.8,21.137,27.458,False,False,"[np.float64(186.64999389648438), np.float64(263.510009765625), np.float64(267.0799865722656)]","[np.float64(149.22000122070312), np.float64(157.8000030517578), np.float64(224.63999938964844)]",1,3,NEUTRAL - No clear level nearby,683.39,670.438,,True,False,False,16.35,True,2,4,NEUTRAL,Selective - Take 3-5 positions,58.573,16.483,42.089,True,STRONG - Significant outperformance
1,NVDA,NVIDIA Corporation,90.08,54.92,25.828,20.122,40.297,3.861,96.139,29.883,749.668,40.297,20.122,29.883,96.139,0.239,329.769,13.265,116760000000.0,64089000000.0,106928000000.0,0.916,110.881,43.812,1.691,96.574,69.255,0.454,2434.7,177.0,4309419000000.0,0.002,23.066,8605000000.0,5020000000.0,3236000000.0,59069000000.0,81.05,60853000000.0,83.498,0.019,431659.758,False,True,True,False,True,True,True,False,False,True,False,False,False,False,True,0.922,4316597583872,72880000000.0,130497000000.0,111601000000.0,32274000000.0,42978000000.0,10270000000.0,3771000000.0,80126000000.0,18047000000.0,62079000000.0,64089000000.0,3236000000.0,834000000.0,1864000000.0,247000000.0,11146000000.0,24347000000,8076000000.0,529000000.0,6499000000.0,42.543,66.304,119.177,82.197,0.043,0.693,0.725,6916.0,177.0,352.0,140.0,250.394,250.0,40930333333.333,35669333333.333,26364600000.0,6839200000.0,90347800000.0,69342600000.0,0.148,75841600000.0,103.325,105.101,2025-11-30,177.0,6,15,40.0,🔴 AVOID,Poor setup,25,20,6,17,11,79,20.0,0,0.0,0,13.333,0.0,0,33.333,56.167,177.0,188.709,186.83,153.658,False,True,True,-6.205,-5.261,15.191,2,3,WAIT - Partial trend,-2.854,-1.168,-1.685,False,False,False,True,False,,0,3,AVOID - Bearish momentum,41.205,True,False,True,Bearish,2,3,BUY - Acceptable zone,177.0,187.622,False,False,False,121332800.0,216997525.0,0.559,229238900.0,253265316.667,0,3,"AVOID - Below VWMA, weak support",177.0,180.28,176.76,1.853,0.136,True,True,"[np.float64(184.45959632874283), np.float64(195.6199951171875), np.float64(212.19000244140625)]","[np.float64(170.88036283204175), np.float64(176.75999450683594), np.float64(178.91000366210938)]",2,3,BUY - At support but near resistance,683.39,670.438,,True,False,False,16.35,True,2,4,NEUTRAL,Selective - Take 3-5 positions,28.066,16.483,11.582,True,STRONG - Significant outperformance
2,GOOG,Alphabet Inc.,33.252,28.102,2.541,2.564,24.605,2.451,97.549,9.491,52.055,24.605,2.564,9.491,97.549,0.09,419.366,16.44,309918000000.0,125299000000.0,410192000000.0,1.324,24.881,31.632,5.784,12.605,10.754,2.51,540.7,320.12,1730888840000.0,0.015,10.025,,,52535000000.0,,,72764000000.0,72.678,0.425,386443.536,False,False,True,False,True,True,True,True,False,False,False,False,False,False,True,,3864435359744,100118000000.0,350018000000.0,450256000000.0,125172000000.0,283379000000.0,25461000000.0,15714000000.0,163711000000.0,89122000000.0,74589000000.0,125299000000.0,52535000000.0,7363000000.0,15311000000.0,268000000.0,19697000000.0,5407000000,184624000000.0,,9747000000.0,20.107,28.525,32.908,23.484,0.067,0.608,0.651,5664.0,320.12,345.0,185.0,311.206,330.0,92597666666.667,77961666666.667,121992400000.0,33163000000.0,136246000000.0,405371400000.0,0.063,415118400000.0,27.425,24.698,2025-11-30,320.12,10,15,66.667,🟡 WAIT,Need more confirmation,22,11,3,20,9,65,30.0,0,20.0,5,6.667,15.0,5,81.667,73.333,320.12,292.767,268.526,202.995,True,True,True,9.343,19.214,57.698,3,3,WAIT - Extended above MA,14.337,11.625,2.713,True,True,True,False,True,5.0,3,3,STRONG BUY - Fresh crossover (5 days ago),73.98,False,True,False,Overbought,1,3,"WAIT - Overbought, pullback likely",320.12,296.367,True,True,True,19695800.0,28064560.0,0.702,45458280.0,28509750.0,3,3,STRONG BUY - Institutional accumulation,320.12,328.67,271.41,2.671,15.216,False,False,"[np.float64(252.1999969482422), np.float64(256.70001220703125), np.float64(291.92999267578125)]","[np.float64(236.68499755859375), np.float64(239.1999969482422), np.float64(271.4100036621094)]",0,3,NEUTRAL - No clear level nearby,683.39,670.438,,True,False,False,16.35,True,2,4,NEUTRAL,Selective - Take 3-5 positions,88.586,16.483,72.103,True,STRONG - Significant outperformance
3,ANET,Arista Networks Inc,26.032,27.325,69.883,55.397,35.738,0.0,100.0,62.09,1917.675,35.738,55.397,62.09,100.0,,,12.649,7132675000.0,3708235000.0,7250918000.0,1.017,28.645,49.688,1.733,49.089,33.43,1.012,125.929,130.68,164563372947.6,,19.479,107054000.0,63270000.0,32032000.0,3644965000.0,127.801,3676203000.0,128.897,0.0,16456.337,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,0.983,164563369984,2852054000.0,7003146000.0,14043921000.0,4049114000.0,7219059000.0,,632292000.0,11910815000.0,2732222000.0,9178593000.0,3708235000.0,32032000.0,0.0,62038000.0,,412980000.0,1259285070,98845000.0,8209000.0,,23.286,32.501,34.487,24.95,0.179,0.701,0.854,2631.0,130.68,185.0,140.0,164.075,167.5,2242990333.333,2097273666.667,2352388600.0,633356200.0,3307976800.0,9571447600.0,,,,29.798,2025-11-30,130.68,6,15,40.0,🔴 AVOID,Poor setup,25,20,4,4,13,66,20.0,5,0.0,0,13.333,0.0,0,38.333,52.167,130.68,133.242,142.466,112.051,False,True,True,-1.923,-8.273,16.625,2,3,WAIT - Partial trend,-5.767,-5.762,-0.005,False,False,False,True,False,,0,3,AVOID - Bearish momentum,45.117,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,130.68,131.659,False,False,False,3895000.0,9791725.0,0.398,7499100.0,13590775.0,0,3,"AVOID - Below VWMA, weak support",130.68,141.99,127.58,8.655,2.372,False,False,"[np.float64(156.32000732421875), np.float64(162.67999267578125), np.float64(164.94000244140625)]","[np.float64(127.58000183105469), np.float64(136.7899932861328), np.float64(138.5)]",2,3,NEUTRAL - No clear level nearby,683.39,670.438,,True,False,False,16.35,True,2,4,NEUTRAL,Selective - Take 3-5 positions,28.806,16.483,12.322,True,STRONG - Significant outperformance
4,TPR,"Tapestry, Inc.",6.002,11.937,3.717,3.628,9.632,77.676,22.324,12.001,-4.199,9.632,3.628,12.001,22.324,1.346,14.869,15.224,2791500000.0,1216600000.0,4300600000.0,1.541,1.368,83.42,0.819,-36.236,1.601,-2.302,20.465,109.28,22364124898.56,0.174,3.138,1861300000.0,214900000.0,122700000.0,1001700000.0,546.779,1093900000.0,597.107,1.338,2262.156,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,0.823,22621560832,183200000.0,7010700000.0,6580500000.0,5722700000.0,2896900000.0,3899200000.0,98500000.0,2905600000.0,1556900000.0,1348700000.0,1216600000.0,122700000.0,299300000.0,224900000.0,85400000.0,32900000.0,204649752,1820500000.0,40800000.0,3800700000.0,8.648,29.947,9.758,1.834,0.004,0.99,0.994,1284.0,109.28,148.0,66.0,121.684,125.0,869700000.0,645066666.667,,,,,,,,,2025-11-30,109.28,11,15,73.333,🟢 STRONG BUY,Enter position,9,0,2,17,15,43,20.0,5,13.333,5,20.0,10.0,5,78.333,60.667,109.28,104.941,110.453,92.207,False,True,True,4.135,-1.062,18.516,2,3,WAIT - Partial trend,-0.696,-1.711,1.015,True,False,True,True,True,5.0,2,3,STRONG BUY - Fresh crossover (5 days ago),60.212,True,True,True,Bullish,3,3,BUY - Acceptable zone,109.28,104.426,True,False,True,975900.0,3784980.0,0.258,3750185.714,2178150.0,2,3,BUY - Good volume support,109.28,113.619,108.14,3.97,1.043,True,False,"[np.float64(113.61889161154622), np.float64(117.0), np.float64(118.55999755859375)]","[np.float64(103.36778573839851), np.float64(106.26000213623047), np.float64(108.13999938964844)]",2,3,BUY - At support but near resistance,683.39,670.438,,True,False,False,16.35,True,2,4,NEUTRAL,Selective - Take 3-5 positions,78.662,16.483,62.178,True,STRONG - Significant outperformance
5,DECK,Deckers Outdoor Corporation,44.524,39.225,9.894,9.793,17.113,0.0,100.0,11.252,156.335,17.113,9.793,11.252,100.0,0.131,335.255,22.296,2694425000.0,1044523000.0,2787482000.0,1.035,30.811,13.08,7.53,32.431,16.534,0.403,14.574,88.03,12829917648.99,0.022,2.49,610031000.0,135908000.0,86171000.0,908615000.0,94.051,958352000.0,99.199,0.0,1305.867,True,True,True,False,True,True,True,True,False,True,True,False,False,True,True,0.87,13058665472,966091000.0,4985612000.0,3570252000.0,1057239000.0,2107468000.0,276975000.0,67282000.0,2860475000.0,769941000.0,2090534000.0,1044523000.0,86171000.0,0.0,68426000.0,3517000.0,277208000.0,145744833,562951000.0,47080000.0,209693000.0,24.007,35.422,41.818,28.813,0.006,0.991,0.997,1278.0,88.03,157.0,81.0,111.971,109.185,965948333.333,747492000.0,,,,,,,,,2025-11-30,88.03,8,15,53.333,🟡 WAIT,Need more confirmation,25,18,17,20,13,93,0.0,0,13.333,0,20.0,10.0,5,48.333,70.667,88.03,82.817,93.113,109.071,False,False,False,6.295,-5.459,-19.291,0,3,AVOID,-1.85,-3.283,1.433,True,False,True,True,False,,2,3,BUY - Momentum building,62.02,True,True,True,Bullish,3,3,BUY - Acceptable zone,88.03,82.622,True,False,True,1892400.0,3651575.0,0.518,3359980.0,3185600.0,2,3,BUY - Good volume support,88.03,131.58,78.91,49.472,10.36,False,False,"[np.float64(212.49000549316406), np.float64(214.6999969482422), np.float64(223.97999572753906)]","[np.float64(113.52999877929688), np.float64(195.17999267578125), np.float64(201.0)]",1,3,NEUTRAL - No clear level nearby,683.39,670.438,,True,False,False,16.35,True,2,4,NEUTRAL,Selective - Take 3-5 positions,-55.078,16.483,-71.561,False,AVOID - Significant underperformance
6,MU,"Micron Technology, Inc.",14.2,2.779,0.852,0.629,-3.864,21.137,78.863,19.558,-21.475,-3.864,0.629,19.558,78.863,0.339,20.564,11.643,12171000000.0,17525000000.0,42772000000.0,3.514,12.301,31.157,3.209,-0.688,6.713,-45.312,112.535,236.48,266122709825.92,0.057,7.12,52844000000.0,17358000000.0,15857000000.0,167000000.0,1.956,1668000000.0,19.534,0.196,26612.271,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,0.01,266122706944,8539000000.0,37378000000.0,82798000000.0,28633000000.0,45131000000.0,15278000000.0,914000000.0,28841000000.0,11454000000.0,17387000000.0,17525000000.0,15857000000.0,522000000.0,8352000000.0,477000000.0,1124000000.0,1125349754,47326000000.0,5518000000.0,14364000000.0,-3.886,-5.332,1.743,1.164,0.002,0.828,0.83,2840.0,236.48,338.0,107.0,220.5,207.5,2221000000.0,1161333333.333,9656800000.0,2691600000.0,11237400000.0,54787800000.0,0.279,69151800000.0,14.358,15.586,2025-11-30,236.48,9,15,60.0,🟡 WAIT,Need more confirmation,0,0,2,18,7,27,30.0,5,6.667,0,13.333,10.0,0,65.0,46.0,236.48,231.682,206.737,130.271,True,True,True,2.071,14.387,81.529,3,3,BUY - Ideal pullback entry,5.066,7.535,-2.469,False,True,False,True,False,,1,3,AVOID - Bearish momentum,49.445,True,False,True,Bearish,2,3,STRONG BUY - Ideal zone,236.48,230.364,True,True,False,12914700.0,27672370.0,0.467,23581280.0,36706400.0,2,3,HOLD - Above VWMA but watch volume,236.48,260.58,217.4,10.191,8.068,False,False,"[np.float64(170.34332301201755), np.float64(201.0), np.float64(260.5799865722656)]","[np.float64(154.55321361859382), np.float64(179.61000061035156), np.float64(217.39999389648438)]",1,3,NEUTRAL - No clear level nearby,683.39,670.438,,True,False,False,16.35,True,2,4,NEUTRAL,Selective - Take 3-5 positions,142.437,16.483,125.954,True,STRONG - Significant outperformance
7,WMT,Walmart Inc.,17.68,15.23,5.044,5.17,2.386,42.114,57.886,9.516,-2.375,2.386,5.17,9.516,57.886,0.717,10.758,23.384,60300000000.0,36443000000.0,125191000000.0,2.076,7.701,38.64,2.206,14.08,5.939,2.744,797.285,110.51,881079777492.22,0.068,1.254,155107000000.0,24352000000.0,23783000000.0,12091000000.0,62.209,12660000000.0,65.137,0.759,88191.599,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,0.332,881915985920,19436000000.0,680985000000.0,260823000000.0,163131000000.0,83861000000.0,60114000000.0,4011000000.0,79458000000.0,96584000000.0,-17126000000.0,36443000000.0,23783000000.0,6688000000.0,12973000000.0,2728000000.0,6152000000.0,7972851122,139704000000.0,15403000000.0,56103000000.0,5.523,16.963,19.322,6.26,0.452,0.366,0.669,4879.0,110.51,130.0,60.0,118.385,120.0,24237333333.333,15542333333.333,,,,,,,,,2025-11-30,110.51,11,15,73.333,🟢 STRONG BUY,Enter position,9,5,4,19,9,46,30.0,0,20.0,0,20.0,10.0,0,80.0,63.0,110.51,103.657,103.848,97.723,True,True,True,6.611,6.415,13.084,3,3,WAIT - Extended above MA,1.182,0.351,0.831,True,True,True,True,True,6.0,3,3,BUY - Momentum building,68.893,True,True,True,Bullish,3,3,BUY - Acceptable zone,110.51,103.966,True,True,False,9846500.0,20582645.0,0.478,22701600.0,30925375.0,2,3,HOLD - Above VWMA but watch volume,110.51,110.7,101.33,0.172,8.307,False,True,"[np.float64(103.94000244140625), np.float64(106.11000061035156), np.float64(109.58000183105469)]","[np.float64(98.87999725341797), np.float64(99.87000274658203), np.float64(101.33000183105469)]",0,3,"WAIT - Near resistance, likely pullback",683.39,670.438,,True,False,False,16.35,True,2,4,NEUTRAL,Selective - Take 3-5 positions,20.635,16.483,4.152,True,GOOD - Outperforming market
8,TJX,"The TJX Companies, Inc.",31.623,29.705,3.421,3.461,7.962,35.11,64.89,6.357,11.523,7.962,3.461,6.357,64.89,1.75,82.921,24.973,16119000000.0,6116000000.0,19314000000.0,1.198,16.351,33.536,2.877,15.899,5.098,2.109,111.294,151.92,169077654900.0,0.076,2.874,16987000000.0,2124000000.0,1918000000.0,3992000000.0,82.072,4198000000.0,86.308,0.975,16948.432,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,0.653,169484320768,4864000000.0,56360000000.0,31749000000.0,23356000000.0,7302000000.0,12778000000.0,617000000.0,12991000000.0,11008000000.0,1983000000.0,6116000000.0,1918000000.0,1648000000.0,1104000000.0,76000000.0,1619000000.0,1112938750,16987000000.0,0.0,12161000000.0,13.858,61.023,65.476,15.402,0.001,0.921,0.922,3150.0,151.92,181.0,92.0,159.158,165.0,5775000000.0,4278666666.667,,,,,,,,,2025-11-30,151.92,11,15,73.333,🟢 STRONG BUY,Enter position,18,10,4,19,11,62,30.0,5,20.0,0,20.0,10.0,0,85.0,73.5,151.92,146.316,143.649,130.652,True,True,True,3.83,5.757,16.278,3,3,BUY - Ideal pullback entry,2.514,1.874,0.641,True,True,True,False,False,,3,3,HOLD - Bullish but watch for weakening,68.888,True,True,True,Bullish,3,3,BUY - Acceptable zone,151.92,146.504,True,True,False,2496200.0,6369900.0,0.392,7949116.667,8704066.667,2,3,HOLD - Above VWMA but watch volume,151.92,154.66,143.82,1.804,5.332,False,True,"[np.float64(135.0296002369005), np.float64(141.09264192367252), np.float64(144.70221047216305)]","[np.float64(125.78465497927897), np.float64(137.832056192598), np.float64(143.82000732421875)]",0,3,"WAIT - Near resistance, likely pullback",683.39,670.438,,True,False,False,16.35,True,2,4,NEUTRAL,Selective - Take 3-5 positions,22.367,16.483,5.884,True,GOOD - Outperforming market
9,EWBC,"East West Bancorp, Inc.",,0.0,14.896,13.522,46.446,23.452,76.548,89.937,390.815,46.446,13.522,89.937,76.548,0.522,0.0,21.343,4327811000.0,1411667000.0,6071020000.0,1.403,1.674,11.764,7.94,10.848,12.526,1.084,13.759,106.7,14680383946.8,0.247,5.717,164200000.0,182253000.0,,1229414000.0,105.476,,,2.101,1470.558,False,False,True,False,False,False,True,True,False,False,True,True,False,True,True,0.871,14705581056,1165586000.0,2566544000.0,75976475000.0,68253421000.0,6950834000.0,3625237000.0,0.0,0.0,0.0,0.0,1411667000.0,,308478000.0,198447000.0,1914480000.0,316275000.0,137585604,164200000.0,0.0,0.0,1.771,18.519,17.953,1.737,0.01,0.949,0.958,706.0,106.7,145.0,106.0,125.2,125.0,0.0,1151610000.0,,,,,,,,,2025-11-30,106.7,13,15,86.667,🟢 STRONG BUY,Enter position,10,11,13,12,10,56,30.0,5,20.0,5,20.0,10.0,0,90.0,73.0,106.7,103.149,102.971,96.34,True,True,True,3.442,3.621,10.753,3,3,BUY - Ideal pullback entry,0.983,0.426,0.557,True,True,True,True,True,5.0,3,3,STRONG BUY - Fresh crossover (5 days ago),57.275,True,True,True,Bullish,3,3,STRONG BUY - Ideal zone,106.7,103.09,True,True,False,189200.0,573645.0,0.33,394260.0,524900.0,2,3,HOLD - Above VWMA but watch volume,106.7,107.04,104.768,0.319,1.811,True,True,"[np.float64(107.04000091552734), np.float64(108.69620315232122), np.float64(110.1456747844844)]","[np.float64(102.15315018223347), np.float64(103.59458732473853), np.float64(104.76761799287695)]",2,3,BUY - At support but near resistance,683.39,670.438,,True,False,False,16.35,True,2,4,NEUTRAL,Selective - Take 3-5 positions,-0.275,16.483,-16.759,False,AVOID - Significant underperformance
