,stock,range_length_days,price_mode,expansion_move_pct,expansion_closing_range,buy_date,sell_type,sell_date,stage,return_pct,days_held,buy_price,sell_price,peak_return_pct,days_to_peak
0,META,3,high_low,1.42,91.7,2013-03-08,stop_loss,2013-03-13,0,-4.01,3,28.43,27.29,0.0,0
1,META,3,high_low,3.76,95.2,2013-05-03,stop_loss,2013-05-06,1,-3.99,1,29.04,27.88,0.0,0
2,META,4,high_low,29.51,75.6,2013-07-26,weakness,2013-10-10,2,41.75,53,33.77,47.87,16.05,6
3,META,3,high_low,4.38,95.3,2013-08-26,weakness,2013-10-10,2,17.04,32,40.9,47.87,1.08,0
4,META,3,high_low,2.27,94.0,2013-12-05,weakness,2014-01-28,2,12.19,35,48.15,54.02,20.37,13
5,META,4,high_low,3.36,80.8,2013-12-24,stop_loss,2013-12-27,2,-4.0,2,58.27,55.94,0.0,0
6,META,3,high_low,2.79,98.1,2014-01-07,stop_loss,2014-01-13,2,-4.0,4,57.7,55.39,1.4,9
7,META,3,high_low,3.49,100.0,2014-02-14,weakness,2014-03-21,2,0.04,24,67.5,67.53,4.86,5
8,META,4,high_low,4.37,85.3,2015-07-20,stop_loss,2015-07-30,2,-4.0,8,95.85,92.02,2.65,1
9,META,4,high_low,1.45,92.3,2017-10-30,weakness,2017-12-04,2,-1.66,24,179.26,176.29,2.1,19
10,META,3,high_low,2.15,89.5,2018-04-11,stop_loss,2018-04-24,3,-4.0,9,165.36,158.75,2.0,4
11,META,5,high_low,7.96,68.2,2020-08-03,stop_loss,2020-08-03,2,-0.77,0,252.65,250.7,6.25,4
12,META,4,high_low,3.69,92.6,2020-08-07,weakness,2020-09-11,2,2.26,24,264.08,270.06,1.65,0
13,META,3,high_low,4.15,64.0,2020-10-13,stop_loss,2020-10-15,2,-4.0,2,277.58,266.48,0.0,0
14,META,3,high_low,5.98,77.5,2021-04-30,stop_loss,2021-05-03,2,-0.8,1,326.14,323.52,0.0,0
15,META,4,high_low,3.11,84.7,2021-06-29,stop_loss,2021-07-15,2,-4.0,11,356.27,342.02,0.0,0
16,META,4,high_low,1.19,94.6,2022-04-05,stop_loss,2022-04-06,4,-4.0,1,234.08,224.72,0.0,0
17,META,3,high_low,4.27,94.0,2022-09-12,stop_loss,2022-09-13,4,-4.0,1,167.39,160.69,0.94,0
18,META,4,high_low,1.38,85.4,2022-12-30,weakness,2023-07-25,4,149.82,140,118.16,295.19,62.17,25
19,META,3,high_low,4.16,85.7,2023-03-06,stop_loss,2023-03-09,4,-4.0,3,188.0,180.48,0.0,0
20,META,3,high_low,5.6,96.7,2024-07-08,stop_loss,2024-07-11,2,-4.0,3,542.35,520.66,0.0,0
21,META,3,high_low,8.95,81.9,2026-01-30,stop_loss,2026-01-30,3,-0.66,0,727.5,722.68,0.0,0
22,META,3,high_low,3.74,86.0,2026-04-15,stop_loss,2026-04-30,3,-7.15,11,667.0,619.32,3.23,2
23,NVDA,3,high_low,8.16,93.2,2003-05-05,weakness,2003-06-24,2,41.43,35,0.13,0.19,33.15,4
24,NVDA,3,high_low,7.64,90.1,2003-08-20,weakness,2003-08-26,2,1.59,4,0.15,0.15,4.31,5
25,NVDA,3,high_low,4.46,90.3,2003-10-29,weakness,2004-01-26,3,31.0,59,0.15,0.19,22.6,7
26,NVDA,3,high_low,4.94,80.3,2005-08-15,stop_loss,2005-08-22,1,-4.16,5,0.25,0.24,2.2,0
27,NVDA,3,high_low,4.66,94.4,2006-02-17,stop_loss,2006-02-17,2,-2.9,0,0.42,0.41,0.0,0
28,NVDA,4,high_low,2.99,68.7,2007-03-22,weakness,2007-03-29,2,-1.17,5,0.5,0.49,2.1,0
29,NVDA,4,high_low,5.46,98.7,2007-04-09,stop_loss,2007-04-11,2,-4.85,2,0.51,0.49,0.0,0
30,NVDA,3,high_low,6.92,88.4,2007-06-22,stop_loss,2007-06-26,2,-3.72,2,0.72,0.69,1.44,0
31,NVDA,3,high_low,1.53,87.5,2007-10-02,stop_loss,2007-10-03,2,-4.46,1,0.94,0.9,0.0,0
32,NVDA,3,high_low,5.02,78.0,2010-09-22,stop_loss,2010-10-06,1,-4.0,10,0.28,0.27,8.98,2
33,NVDA,6,high_low,2.67,79.5,2010-12-02,weakness,2011-02-24,1,56.37,57,0.36,0.56,6.33,4
34,NVDA,3,high_low,3.69,97.0,2011-10-14,stop_loss,2011-10-17,4,-3.37,1,0.39,0.38,0.0,0
35,NVDA,3,high_low,1.04,88.6,2012-10-05,stop_loss,2012-10-08,4,-3.37,1,0.34,0.33,0.0,0
36,NVDA,3,high_low,1.21,98.1,2012-11-02,stop_loss,2012-11-12,4,-5.36,6,0.32,0.3,2.68,1
37,NVDA,8,high_low,4.01,85.0,2013-05-13,stop_loss,2013-06-12,1,-3.05,21,0.36,0.35,3.32,6
38,NVDA,3,high_low,4.36,92.5,2013-11-11,weakness,2013-11-21,1,-1.74,8,0.39,0.38,4.65,3
39,NVDA,3,high_low,2.81,63.9,2014-04-02,stop_loss,2014-04-11,2,-3.49,7,0.47,0.45,3.27,15
40,NVDA,6,high_low,5.56,88.6,2014-08-11,weakness,2014-09-16,3,-1.1,25,0.48,0.47,5.31,17
41,NVDA,5,high_low,3.06,98.1,2014-11-03,weakness,2014-12-12,3,0.0,28,0.5,0.5,5.75,21
42,NVDA,5,high_low,2.54,91.2,2015-05-28,weakness,2015-06-15,3,-3.85,12,0.55,0.52,2.47,2
43,NVDA,3,high_low,10.0,73.8,2015-08-10,stop_loss,2015-08-21,3,-3.59,9,0.57,0.55,4.21,0
44,NVDA,9,high_low,9.82,81.6,2015-11-09,stop_loss,2015-11-13,2,-3.97,4,0.78,0.75,0.54,0
45,NVDA,3,high_low,1.84,95.7,2015-12-07,stop_loss,2015-12-09,2,-3.97,2,0.84,0.81,0.0,0
46,NVDA,3,high_low,1.96,100.0,2016-03-02,stop_loss,2016-03-10,2,-4.21,6,0.81,0.78,14.55,39
47,NVDA,4,high_low,5.15,87.6,2016-08-15,stop_loss,2016-08-17,2,-3.66,2,1.58,1.52,0.06,13
48,NVDA,6,high_low,4.06,97.1,2016-10-25,stop_loss,2016-11-03,2,-4.24,7,1.76,1.69,2.22,1
49,NVDA,3,high_low,1.84,96.0,2017-02-02,stop_loss,2017-02-13,2,-3.97,7,2.83,2.72,5.15,3
50,NVDA,6,high_low,14.86,93.2,2017-05-11,weakness,2017-07-03,2,20.82,36,3.0,3.63,13.96,3
51,NVDA,3,high_low,4.38,100.0,2017-09-18,stop_loss,2017-09-25,2,-4.07,5,4.63,4.44,1.3,0
52,NVDA,4,high_low,6.25,87.6,2018-01-04,stop_loss,2018-02-05,2,-3.97,21,5.39,5.18,14.41,16
53,NVDA,3,high_low,3.99,91.3,2018-10-01,stop_loss,2018-10-05,2,-4.0,4,7.1,6.82,1.83,0
54,NVDA,3,high_low,3.1,96.6,2019-11-26,stop_loss,2019-12-02,1,-4.04,3,5.51,5.29,0.0,0
55,NVDA,3,high_low,3.43,99.7,2020-02-11,stop_loss,2020-02-27,2,-4.65,11,6.68,6.37,17.72,5
56,NVDA,4,high_low,1.82,100.0,2020-08-31,stop_loss,2020-09-04,2,-3.97,4,13.18,12.66,8.83,2
57,NVDA,3,high_low,2.69,95.8,2021-06-01,weakness,2021-07-19,2,10.11,33,16.27,17.92,27.22,24
58,NVDA,4,high_low,3.42,83.5,2021-06-18,stop_loss,2021-06-21,2,-4.01,1,18.78,18.03,10.19,11
59,NVDA,3,high_low,2.91,87.7,2021-06-29,stop_loss,2021-07-15,2,-3.99,11,19.88,19.09,4.1,4
60,NVDA,3,high_low,2.02,96.9,2022-08-26,stop_loss,2022-08-26,4,-4.02,0,17.86,17.14,0.0,0
61,NVDA,3,high_low,2.86,99.3,2024-03-04,weakness,2024-04-10,2,-0.24,26,84.13,83.93,10.15,3
62,NVDA,5,high_low,2.18,75.9,2026-04-27,stop_loss,2026-04-30,1,-4.0,3,209.65,201.26,3.32,0
63,MSFT,3,high_low,7.63,85.7,1986-04-25,stop_loss,1986-04-30,0,-1.0,3,0.11,0.11,6.25,1
64,MSFT,4,high_low,6.52,97.1,1987-04-29,weakness,1987-05-21,2,3.29,16,0.37,0.38,19.06,7
65,MSFT,3,high_low,3.79,96.6,1987-05-29,stop_loss,1987-06-02,2,-3.38,2,0.4,0.39,0.0,0
66,MSFT,3,high_low,1.75,91.7,1988-06-01,weakness,1988-07-21,3,9.44,35,0.4,0.44,15.02,15
67,MSFT,7,high_low,4.28,84.0,1988-06-23,stop_loss,1988-06-27,3,-3.28,2,0.47,0.45,0.0,0
68,MSFT,3,high_low,1.83,81.3,1988-11-09,weakness,1988-11-14,4,0.0,3,0.33,0.33,3.65,0
69,MSFT,3,high_low,3.68,97.2,1989-11-14,stop_loss,1989-11-20,2,-4.27,4,0.62,0.59,0.0,0
70,MSFT,4,high_low,2.88,93.3,1990-04-04,weakness,1990-04-26,2,0.86,15,0.81,0.81,6.9,8
71,MSFT,3,high_low,3.8,78.9,1990-05-21,weakness,1990-07-05,2,4.0,31,0.95,0.99,11.27,3
72,MSFT,3,high_low,5.15,88.5,1990-11-13,weakness,1991-03-12,2,42.91,81,0.95,1.36,9.45,15
73,MSFT,5,high_low,3.16,95.5,1991-09-13,stop_loss,1991-09-17,3,-4.0,2,1.78,1.71,18.13,43
74,MSFT,4,high_low,4.13,93.8,1991-10-31,weakness,1992-02-18,3,26.19,74,1.97,2.48,6.88,9
75,MSFT,3,high_low,2.82,93.7,1993-03-31,stop_loss,1993-04-15,1,-3.91,10,2.85,2.74,1.92,1
76,MSFT,3,high_low,5.63,71.4,1995-04-18,stop_loss,1995-04-20,2,-4.05,2,4.84,4.64,15.35,27
77,MSFT,3,high_low,2.68,92.1,1995-10-18,stop_loss,1995-11-07,2,-4.08,14,6.14,5.89,4.58,8
78,MSFT,3,high_low,2.23,100.0,1995-11-29,stop_loss,1995-11-30,2,-4.04,1,5.74,5.51,0.0,0
79,MSFT,4,high_low,3.33,96.2,1996-03-14,weakness,1996-04-11,3,0.37,19,6.32,6.34,5.69,3
80,MSFT,3,high_low,3.42,66.0,1997-01-21,weakness,1997-02-24,2,4.0,23,11.33,11.78,13.79,10
